Domanda,Risposta_A,Risposta_B,Risposta_C,Corretta
Domanda 203 – Quali sono le ipotesi di preterintenzione previste dal nostro ordinamento?,Lesioni e percosse,L’aborto e l’omicidio (corretta),Furto e rapina,B
Domanda 204 – Qual è la caratteristica della colpa cosciente?,Il dolo misto a colpa,La previsione dell’evento (corretta),La negligenza,B
Domanda 205 – Rappresentazione e volontà sono le componenti psicologiche di quale criterio di attribuzione soggettiva del reato?,Preterintenzione,Dolo (corretta),Colpa,B
"Domanda 206 – Secondo la teoria del dolo misto a colpa, la morte della vittima a quale titolo è attribuita?",A titolo di colpa (corretta),A titolo di dolo,A titolo di responsabilità oggettiva,A
"Domanda 207 – In base alle regole cautelari violate, la colpa si distingue in?",Colpa cosciente e incosciente,Colpa generica e specifica (corretta),Colpa propria e impropria,B
Domanda 208 – Secondo la teoria del dolo misto a responsabilità oggettiva la morte della vittima a quale titolo è attribuita?,A titolo di colpa,A titolo di dolo,A titolo di responsabilità oggettiva (corretta),C
Domanda 209 – Perché l’omicidio si definisce reato istantaneo?,Perché è ammesso il tentativo,Perché è un reato sia a condotta attiva che omissiva,Perché l’offesa si consuma nel momento del decesso (corretta),C
Domanda 210 – Nell’omicidio preterintenzionale il soggetto compie atti diretti a commettere quali reati?,Lesioni o percosse (corretta),Minaccia o violenza privata,Rapina o furto,A
Domanda 211 – Il delitto di furto è un reato proprio?,Solo in presenza di aggravanti,Sì,No (corretta),C
Domanda 212 – Costituiscono oggetto materiale del reato di furto,Cose mobili ed immobili altrui,Cose mobili altrui (corretta),Cose mobili di elevato valore economico,B
Domanda 213 – Qual è l’elemento soggettivo del reato di furto?,La preterintenzione,Il dolo (corretta),La colpa,B
Domanda 214 – In che cosa consiste il dolo specifico nel delitto di furto?,"Il fine di un profitto per sé o per altri, ossia di percepirne un’utilità diretta, di carattere anche non economico. (corretta)",Nel fine di procurare a sé l’impunità,Nel fine di procurare ad altri un prezzo,A
Domanda 215 – In caso di furto si procede a seguito di querela di parte?,"Sì, ma se la persona offesa è incapace, per età o per infermità, ovvero se ricorre taluna delle circostanze di cui all’art.625, numeri 7, salvo che il fatto sia commesso su cose esposte alla pubblica fede, e 7 bis, si procede d’ufficio (corretta)",No,Sì,A
Domanda 216 – Il reato di rapina è:,Comune (corretta),Comune se avviene di giorno,Indeterminato,A
Domanda 217 – Quali figure di rapina esistono?,Rilevante e irrilevante,Specifica e generica,Propria e impropria (corretta),C
"Domanda 218 – Nel reato di rapina, è prevista la circostanza aggravante speciale:",della particolare gravità,del mezzo di pubblico trasporto (corretta),del soggetto passivo straniero,B
"Domanda 219 – Per il caso di rapina, è consentito il fermo ai sensi dell’art. 384, c.p.p.?",Sì (corretta),No,A discrezione dell’Autorità Giudiziaria,A
"Domanda 220 – Perché si configuri una rapina, la violenza o la minaccia può anche rivolgersi verso terzi che sono un ostacolo per l'agente?",Sì (corretta),No,Solo se la violenza è elevata o la minaccia è esplicita,A
Domanda 221 – Il delitto di usura è un reato comune?,No,Solo senza le aggravanti,Sì (corretta),C
Domanda 222 – Lo stato di bisogno della vittima di usura è:,Un’attenuante,Un’aggravante (corretta),Un elemento essenziale per il reato,B
Domanda 223 – Qual è l'elemento soggettivo del reato di usura?,La colpa,La preterintenzione,Il dolo (corretta),C
"Domanda 224 – L’art. 644, co. 1, c.p. punisce:",chi si fa dare o promettere interessi o altri vantaggi usurari (corretta),chi si fa promettere interessi o altri vantaggi usurari,chi si fa dare interessi o altri vantaggi usurari,A
Domanda 225 – Il delitto di usura punisce anche:,Il mediatore (corretta),Il rinforzatore,Il produttore,A
"Domanda 226 – Il testo dell’art. 646 c.p., reato di appropriazione indebita, parla di:",Chiunque (corretta),Pubblico ufficiale,Incaricato di pubblico servizio,A
Domanda 227 – L’oggetto materiale del delitto di appropriazione indebita è:,Denaro,"Denaro, cosa mobile altrui (corretta)",Cosa mobile altrui,B
Domanda 228 – Presupposto del reato di appropriazione indebita è:,L’identità del proprietario della cosa,L’ignoranza della provenienza,Il possesso della cosa da parte dell’agente (corretta),C
"Domanda 229 – Per il delitto di appropriazione indebita, è consentito il fermo ai sensi dell’art. 384, c.p.p.?",No (corretta),Sì,Dipende dal valore dell’oggetto materiale,A
"Domanda 230 – Per il delitto di appropriazione indebita, l’arresto è:",A discrezione del giudice,Obbligatorio,Facoltativo (corretta),C
Domanda 231 - Il delitto di estorsione è un reato comune?,Sì,No (corretta),Solo se il soggetto attivo è ultrasessantacinquenne,B
Domanda 232 - Nel delitto di estorsione la condotta dell'agente è:,Un inganno tramite artifizi e raggiri che conduce all'errore,Costringere tramite violenza,Costringere tramite violenza o minaccia (corretta),C
Domanda 233 - Qual è l'elemento soggettivo del reato di estorsione?,Il dolo (corretta),La colpa,La preterintenzione,A
Domanda 234 - Per il delitto di estorsione l'arresto è:,Facoltativo solo se l'autore del fatto è un cittadino dell'Unione Europea,Obbligatorio ex art. 380 c.p.p. (corretta),"Facoltativo, ex art. 381 c.p.p.",B
Domanda 235 - In caso di estorsione si procede:,D'ufficio (corretta),A querela di parte,A querela di parte se non vi sono aggravanti,A
Domanda 236 - Il reato di truffa è:,semi offensivo,Pluri offensivo (corretta),Mono offensivo,B
Domanda 237 - Il delitto di truffa è un reato proprio?,No,Sì (corretta),Può essere sia proprio che comune,B
"Domanda 238 - Nel reato di truffa, è prevista la circostanza aggravante speciale:",di un ente pubblico,dello Stato,dello Stato o di un altro ente pubblico o dell’Unione Europea (corretta),C
"Domanda 239 - Per il caso di truffa, è consentito il fermo ai sensi dell'art. 384, c.p.p.?",No (corretta),Sì,A discrezione dell'Autorità Giudiziaria,A
Domanda 240 - Per il delitto di truffa la procedibilità è:,D'ufficio,A querela di parte,"A querela di parte, salvo ipotesi di cui al comma 3 dell’art. 640 C.P., nonché ipotesi di cui all’art. 649 bis (corretta)",C
Domanda 241 – A quale categoria appartengono i maltrattamenti in famiglia?,Reati contro la persona,Reati contro la famiglia (corretta),Reati contro l’ordine pubblico,B
Domanda 242 – Un singolo episodio di violenza domestica può configurare il reato di maltrattamenti?,"Sì, purché causi uno stato di malattia nel soggetto passivo","No, servono condotte abituali che causino sofferenze fisiche e/o mentali (corretta)",Sì,B
"Domanda 243 – In quali tipologie di rapporto, tra autore e vittima, si inseriscono le condotte previste dall’articolo 572 del codice penale?",Di semplice conoscenza,Di amicizia,"Di familiarità o di sottoposizione all’autorità o all’affidamento per ragioni di educazione, cura, vigilanza o custodia (corretta)",C
Domanda 244 – È applicabile l’art. 572 c.p. all’interno delle cosiddette “famiglie di fatto”?,Sì (corretta),"No, tranne nel caso in cui i componenti del nucleo siano dello stesso sesso","No, mai",A
Domanda 245 – Nel delitto di maltrattamenti in famiglia la condotta del soggetto attivo può essere:,Solo omissiva,Solo attiva,"Attiva e, in particolari casi, anche omissiva (corretta)",C
Domanda 246 – È prevista una ipotesi colposa per il reato di maltrattamenti in famiglia?,No (corretta),"Sì, ma solo se la vittima è un minore degli anni 14",Sì,A
Domanda 247 – L’allontanamento urgente dalla casa familiare di cui all’art. 384 bis c.p.p.:,Può essere disposto dal giudice per le indagini preliminari su richiesta del pubblico ministero in caso di pericolo di reiterazione di gravi reati,"Può essere disposto, unitamente al divieto di avvicinamento ai luoghi abitualmente frequentati dalla persona offesa, da ufficiali e agenti di polizia giudiziaria nella flagranza di reati specifici, tra cui il reato di maltrattamenti contro familiari e conviventi (corretta)",Può essere disposto unitamente al divieto di avvicinamento ai luoghi abitualmente frequentati dalla persona offesa da ufficiali di polizia giudiziaria nella flagranza di reati specifici tra cui il reato di maltrattamenti contro familiari e conviventi,B
Domanda 248 – I delitti previsti dagli artt. 571 e 572 c.p. sono:,Entrambi dolosi (corretta),Il primo doloso e il secondo preterintenzionale,Il primo colposo e il secondo doloso,A
Domanda 249 – Nel delitto di maltrattamenti in famiglia si procede:,Sempre a querela,Sempre d’ufficio (corretta),"A querela per le ipotesi semplici, d’ufficio per quelle aggravate",B
Domanda 250 – Si procede all’arresto per il reato in argomento?,"No, a meno che la vittima sia minorenne","No, mai","Sì, è obbligatorio (corretta)",C
Domanda 251 Gli Ufficiali della Guardia di Finanza:,sono tutti Ufficiali di p.g.,sono tutti Agenti di p.g.,non hanno funzioni di p.g. ma solo di Polizia Tributaria,A
Domanda 252 Un Vice Sovrintendente è:,"in alcune circostanze è Agente, in altre è Ufficiale di P.G.",un Agente di P.G.,un Ufficiale di P.G.,C
Domanda 253 La censura è una sanzione disciplinare che può essere inflitta:,solo agli Agenti di p.g.,solo agli Ufficiali di p.g.,sia agli Ufficiali che agli Agenti di p.g.,C
Domanda 254 Che cosa sono i Servizi di Polizia Giudiziaria?,Sono uffici presenti presso le Procure,Sono Uffici a cui sono assegnati solo Ufficiali di p.g. per svolgere l’attività di polizia giudiziaria,"Sono Uffici ed Unità ai quali è affidato il compito di svolgere, in via prioritaria e continuativa, le funzioni di polizia giudiziaria",C
Domanda 255 L’Agente di P.G. che non riferisce dolosamente una notizia di reato è punito:,con una sanzione penale,solo con una sanzione disciplinare,con il trasferimento ad un servizio che non preveda lo svolgimento di attività,A
Domanda 256 Il Sindaco è un Ufficiale di P.G.:,mai,sempre,"solo se nel suo comune non c’è un Ufficio di Polizia, Carabinieri o Guardia di Finanza",C
Domanda 257 Da chi dipende funzionalmente la Polizia Giudiziaria?,Dal P.M.,Dal Questore,Dal Ministro di Grazia e Giustizia,A
Domanda 258 Una sezione di P.G. può essere costituita presso:,la Questura,la Procura della Repubblica presso il Tribunale,la Procura Generale della Repubblica presso la Corte d’Appello,B
Domanda 259 Un vigile del fuoco è:,svolge funzioni di p.g. solo se riceve un apposito incarico da parte del P.M.,un Agente di p.g. a competenza generale,un Agente di p.g. a competenza limitata,C
Domanda 260 La Polizia Giudiziaria deve:,"prendere notizia dei reati, ricercarne gli autori, compiere gli atti necessari ad assicurare le fonti di prova",solo ricercare gli autori del reato,solo prendere notizia dei reati,A
Domanda 261 La P.G. svolge attività investigativa d’iniziativa:,solo su richiesta della persona offesa,obbligatoriamente (corretta),facoltativamente,B
Domanda 262 L’attività d’iniziativa della polizia giudiziaria è svolta:,solo nella fase delle indagini preliminari,solo nella fase del dibattimento,prevalentemente nella fase delle indagini preliminari (corretta),C
Domanda 263 La Polizia Giudiziaria nell’ambito dell’attività d’iniziativa compie:,atti investigativi tipici,atti investigativi tipici ed atipici (corretta),atti investigativi atipici,B
Domanda 264 L’attività investigativa d’iniziativa della P.G. è finalizzata:,alla ricerca del latitante,"ad individuare ed assicurare le fonti di prova per permettere al Pubblico Ministero, sulla base degli elementi raccolti, di decidere se esercitare o meno l’azione penale (corretta)",alla ricerca dell’imputato,B
"Domanda 265 Nel caso in cui il P.M. abbia già assunto la direzione delle indagini, l’attività d’iniziativa della P.G.:",è consentita (corretta),è vietata,deve essere preventivamente autorizzata dal G.I.P. su richiesta della stessa P.G.,A
"Domanda 266 Nel caso in cui il Pubblico Ministero abbia già assunto la direzione delle indagini, il compimento di atti di iniziativa:",non deve contrastare con le direttive impartite dal P.M. e deve essere caratterizzato dalla necessità e dall’urgenza (corretta),può contrastare con le direttive impartite dal P.M. ma deve essere caratterizzato dalla necessità e dall’urgenza,può contrastare con le direttive impartite dal P.M. e non è necessario che sia caratterizzato dalla necessità e dall’urgenza,A
Domanda 267 Il Pubblico Ministero può espressamente vietare alla Polizia Giudiziaria di compiere determinati atti?,dipende dalla fase processuale in cui deve essere eseguito l’atto,no,sì (corretta),C
"Domanda 268 Quando la Polizia Giudiziaria esegue indagini d’iniziativa dopo che il Pubblico Ministero ha assunto la direzione delle indagini, ha l’obbligo di informare il Pubblico Ministero?",no,dipende dalla fase processuale in cui deve essere eseguito l’atto,sì (corretta),C
Domanda 269 L’autorità Giudiziaria può delegare alla P.G. qualsiasi tipo di atto?,sì,no (corretta),dipende dalla fase processuale in cui deve essere eseguito l’atto,B
"Domanda 270 L’omissione, il ritardo, la negligenza nell’esecuzione di ordini, impartiti dall’Autorità Giudiziaria costituiscono comportamenti omissivi, censurabili:",solo penalmente,penalmente e disciplinarmente (corretta),solo disciplinarmente,B
Domanda 271 Che cosa significa documentare l’attività di polizia giudiziaria?,annotare e registrare tutte le attività di indagine svolte dalla Polizia Giudiziaria (corretta),riportare su supporto informatico gli elementi di indagine raccolti ad eccezione delle fonti di prova,trasferire su file audio le registrazioni di intercettazioni telefoniche,A
"Domanda 272 A chi è destinata, in via prioritaria, la documentazione dell’attività di polizia giudiziaria?",al Tribunale in composizione collegiale,ai difensori della parte offesa,al Pubblico Ministero titolare dell’indagine (corretta),C
Domanda 273 Che utilizzabilità processuale ha la relazione di servizio quando contiene notizie di reato o documenta attività di indagine?,fa piena fede fino a prova contraria,ha unicamente rilevanza interna e dunque non ha rilievo processuale,è inserita nel fascicolo del P.M. e ne è data lettura in dibattimento in caso di contestazioni (corretta),C
Domanda 274 La perquisizione è un atto ripetibile?,è un atto atipico,sì,no (corretta),C
Domanda 275 Quali sono le differenze tra annotazione e relazione di servizio?,"a differenza della relazione di servizio, l’annotazione costituisce piena prova essendo atto a fede privilegiata","non vi sono differenze, provenendo entrambi gli atti dalla Polizia Giudiziaria",la relazione di servizio è prevalentemente un atto interno e si rivolge al dirigente dell’ufficio; l’annotazione è atto esterno ed è rivolta all’Autorità Giudiziaria (corretta),C
Domanda 276 L’interrogatorio delegato dell’indagato in stato di libertà può essere reso mediante annotazione?,"no, deve essere reso mediante verbale (corretta)",solo se videoregistrato,sì,A
Domanda 277 L’annotazione ed il verbale hanno la stessa efficacia processuale?,solo l’annotazione è atto a fede privilegiata e costituisce piena prova fino a querela di falso,"sì, hanno la stessa efficacia processuale",solo il verbale è atto a fede privilegiata e costituisce piena prova fino a querela di falso (corretta),C
Domanda 278 Il Pubblico Ministero è:,il titolare dell’azione penale (corretta),l’esecutore materiale degli atti di Polizia Giudiziaria,"il dominus dell’indagine, che tuttavia non può conoscere se non previa autorizzazione del giudice",A
Domanda 279 Gli atti di P.G. ripetibili riguardano attività che:,possono essere replicate senza alterarne il contenuto (corretta),possono essere replicate ma se ne altera il contenuto,non possono essere replicate,A
Domanda 280 L’attività di polizia giudiziaria può essere:,discrezionale o vincolata,di iniziativa o delegata (corretta),procedurale o sostanziale,B
Domanda 281 La Polizia Giudiziaria prende notizia dei reati:,Solo di propria iniziativa,Anche di propria iniziativa (corretta),Non di propria iniziativa,B
Domanda 282 La notizia di reato può essere:,Non qualificata e tipica,Qualificata o non qualificata (corretta),"Qualificata, tempestiva ed esaustiva",B
Domanda 283 La denuncia riguarda:,i referti,i reati procedibili a querela,i reati procedibili d’ufficio (corretta),C
Domanda 284 Le Forze dell'Ordine sono pubblici ufficiali?,"No, sono incaricati di pubblico servizio",Sì (corretta),"No, sono esercenti un servizio di pubblica necessità",B
Domanda 285 La denuncia è revocabile?,è revocabile quando è soggetta a condizione di procedibilità,sì,no (corretta),C
Domanda 286 Quando il referto esporrebbe la persona assistita a procedimento penale:,È sottoposto al vaglio del P.M.,Non è obbligatorio (corretta),È obbligatorio,B
Domanda 287 Il termine per proporre la querela è:,Sempre di tre mesi,"Tre, sei o dodici mesi a seconda dei reati (corretta)",Termine non soggetto a condizioni,B
Domanda 288 L’istanza di procedimento è:,Una condizione di procedibilità e un atto informativo (corretta),Una istanza del P.M. per l’esercizio dell’azione penale,La domanda di punizione di un delitto commesso in Italia,A
Domanda 289 Gli atti di P.G. ripetibili riguardano attività che:,Possono essere replicate ma se ne altera il contenuto,Non possono essere replicate,Possono essere replicate senza alterarne il contenuto (corretta),C
Domanda 290 Il termine per l’espletamento delle indagini preliminari decorre:,Dal primo atto di indagine cui ha diritto di assistere il difensore,Dall’iscrizione nel registro delle notizie di reato (corretta),Dall’imputazione,B
Domanda 291 I sindaci sono:,solo ufficiali di pubblica sicurezza,sempre autorità locali di pubblica sicurezza,autorità locali di pubblica sicurezza nei comuni privi di ufficio distaccato di polizia (corretta),C
Domanda 292 Il Ministro dell’Interno è:,Autorità centrale di pubblica sicurezza,Autorità nazionale di pubblica sicurezza (corretta),Autorità statale di ordine pubblico,B
Domanda 293 L’Autorità di pubblica sicurezza,veglia al mantenimento dell’ordine pubblico e della sicurezza complementare,veglia al mantenimento dell’ordine pubblico e alla sicurezza dei cittadini (corretta),veglia al mantenimento dell’ordine pubblico e della sicurezza urbana,B
Domanda 294 I prefetti sono Autorità provinciali di pubblica sicurezza,a livello pianificatorio e di impiego delle forze di polizia,a livello politico-generale (corretta),a livello tecnico-operativo,B
Domanda 295 Sono autorità regionali di pubblica sicurezza:,i questori dei capoluoghi di regione,i prefetti dei capoluoghi di regione (corretta),i prefetti dei capoluoghi di provincia,B
Domanda 296 Il capo della polizia – direttore generale della pubblica sicurezza è:,preposto al dipartimento della pubblica sicurezza (corretta),autorità centrale di pubblica sicurezza,autorità nazionale di pubblica sicurezza,A
Domanda 297 La sicurezza urbana è:,bene pubblico afferente all’ordine pubblico,bene pubblico afferente alla sicurezza regionale,bene pubblico che afferisce alla vivibilità ed al decoro delle città (corretta),C
Domanda 298 Il dipartimento della pubblica sicurezza provvede:,all’attuazione materiale dei provvedimenti del Ministro dell’Interno,all’attuazione della politica in materia di ordine pubblico e sicurezza pubblica (corretta),all’attuazione della politica in materia di sicurezza urbana,B
Domanda 299 Il comitato nazionale dell’ordine pubblico e della sicurezza pubblica è:,organo ausiliario di amministrazione attiva del dipartimento di pubblica sicurezza,organo ausiliario di consulenza del Ministro dell’Interno (corretta),organo straordinario di pubblica sicurezza,B
Domanda 300 Gli ufficiali della guardia di finanza sono:,autorità di pubblica sicurezza in materia di polizia tributaria,ufficiali di pubblica sicurezza,agenti di pubblica sicurezza (corretta),C
